Designator,Mid X,Mid Y,Layer,Rotation
C1,233.782,-103.403,top,-45
C2,218.034,-79.654,top,-45
C3,218.543116,-78.324638,top,-45
C6,194.539,-90.195,top,135
C7,204.145484,-114.792992,top,-135
C8,226.438,-108.872,top,-45
C9,222.547072,-112.757996,top,-45
C10,217.844266,-117.19919,top,-45
C11,206.107705,-115.376355,top,135
C12,200.653707,-110.927943,top,-135
C13,196.444,-107.34,top,-135
C14,192.980124,-97.688,top,90
C15,194.039,-92.145,top,-135
C16,198.349,-87.02,top,135
C17,201.810212,-83.591,top,135
C18,206.010589,-79.949589,top,135
C19,219.890411,-79.846359,top,45
C20,225.527,-84.861,top,45
C21,228.702,-87.528,top,45
C22,231.115,-103.403,top,-45
C23,227.188,-108.112,top,-45
C24,223.241,-112.039,top,-45
C25,218.542,-116.484,top,-45
C26,205.368765,-116.137765,top,135
C27,201.438589,-111.743411,top,-135
C28,197.333,-108.102,top,-135
C29,194.031,-97.688,top,90
C30,193.289,-91.395,top,-135
C31,197.629858,-87.742898,top,135
C32,201.023085,-84.345915,top,135
C33,206.760135,-79.207095,top,135
C34,220.701,-80.67,top,45
C35,224.771456,-84.098254,top,45
C36,227.902,-86.728,top,45
C37,229.845,-103.784,top,-45
C38,247.3205,-56.9375,top,-90
C39,250.6625,-47.4275,top,0
C40,238.7385,-52.7355,top,-90
C41,248.9205,-56.9375,top,90
C42,250.6625,-51.0275,top,180
C43,250.125,-63.05,top,90
C44,254.05,-65.625,top,180
C45,240.386,-67.589,top,-90
C46,251.7,-63.05,top,90
C47,254.05,-64,top,0
C48,256.134,-71.375,top,0
C49,260.334,-73.7,top,90
C50,245.284,-74.075,top,0
C51,257.809,-72.925,top,0
C52,259.584,-71.325,top,180
C53,193.5215,-50.888,top,0
C54,197.1675,-43.642,top,180
C55,192.5185,-58.254,top,-90
C56,205.3675,-50.042,top,-90
C57,184.8985,-50.393,top,-90
C58,196.8425,-50.892,top,0
C59,196.9175,-54.267,top,0
C60,181.2425,-56.242,top,-90
C61,182.8425,-57.842,top,90
C62,194.4425,-58.142,top,-90
C63,229.083,-78.13,top,-45
C64,224.765,-73.812,top,135
C65,219.304,-83.845,top,45
J20,166.98,-166.522,top,-90
R1,182.193,-96.971,top,0
R2,245.212,-118.008,top,90
R3,206.0198,-70.9926,top,-135
R4,213.836,-54.6955,top,90
R5,238.7385,-49.283,top,-90
R6,242.7705,-56.1875,top,0
R7,245.2705,-57.1,top,90
R8,213.836,-51.2455,top,-90
R9,250.5625,-53.1375,top,0
R10,250.5625,-49.1275,top,180
R11,215.436001,-54.6955,top,90
R12,215.436,-51.2455,top,-90
R13,217.035999,-54.6955,top,90
R14,217.036,-51.2455,top,-90
R15,218.636,-54.6955,top,90
R16,218.636,-51.2455,top,-90
R17,220.236,-54.6955,top,90
R18,220.236001,-51.2455,top,-90
R19,176.208,-44.802,top,180
R20,221.836,-54.6955,top,90
R21,221.836,-51.2455,top,-90
R22,223.436,-54.6955,top,90
R23,240.386,-64.287,top,-90
R24,243.275,-61.675,top,0
R25,250.125,-66.325,top,-90
R26,223.436,-51.2455,top,-90
R27,251.725,-66.325,top,-90
R28,254.225,-67.225,top,0
R29,225.086,-54.6955,top,90
R30,225.086,-51.2455,top,-90
R31,226.736,-54.6955,top,90
R32,226.736,-51.2455,top,-90
R33,228.436,-54.6955,top,90
R34,228.436,-51.2455,top,-90
R35,184.898,-43.382,top,-90
R36,230.036001,-54.6955,top,90
R37,245.134,-72.475,top,0
R38,248.584,-69.25,top,0
R39,255.409,-73.8625,top,-90
R40,256.309,-69.75,top,0
R41,259.759,-69.75,top,0
R42,230.036,-51.2455,top,-90
R43,231.686,-54.6955,top,90
R44,231.686,-51.2455,top,-90
R45,184.918,-47.052,top,-90
R46,182.8425,-54.442,top,-90
R47,187.6925,-43.776,top,0
R48,194.2965,-48.348,top,-90
R49,185.4065,-58.508,top,0
R50,189.4705,-58.508,top,180
R51,193.5345,-52.666,top,0
R52,197.0905,-52.666,top,0
R53,193.5345,-55.714,top,0
R54,202.78,-50.767,top,180
R55,180.108,-53.532,top,180
R56,179.198,-56.232,top,90
R57,183.9472,-101.5488,top,180
R58,173.076,-160.68,top,90
R59,177.14,-161.442,top,180
R60,174.6,-160.68,top,90
R61,177.14,-159.918,top,180
R62,183.9472,-99.339,top,180
U1,171.148,-95.457,top,-90
U3,212.192,-97.815,top,-135
U4,244.8205,-50.5875,top,0
U6,245.325,-65.325,top,0
U7,250.634,-72.85,top,0
U9,251.689,-79.843,top,90
U10,189.7245,-47.332,top,0
U11,187.4385,-54.952,top,0
U12,200.3865,-47.258,top,0
